N,M,D1_csi,D1_frag_onset,D1_n_comm,D2_max_gini,D2_transition,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D3_entropy,D4_h1_bars,D4_h1_persist,D4_h1_entropy,D4_h1_bars_norm,D4_cycle_rank,D4_cycle_rank_norm,rewire_id
223,263,0.5789473684210527,0.33598182862837817,15,0.6110925486288188,2,0.056773325397466094,0.0025639645551747345,0.9326879763744976,6.67907948548185,68,68.0,6.087462841250242,0.30493273542600896,78,0.34977578475336324,63
223,263,0.5263157894736842,0.26366508987303583,15,0.5888459707552891,2,0.060517787055375805,0.00272123940411439,0.9328326810276972,6.681380027608022,67,67.0,6.066089190457674,0.3004484304932735,77,0.3452914798206278,64
223,263,0.5263157894736842,0.26366508987303583,13,0.5213140868274907,2,0.06968386056973974,0.0031083148681401176,0.9216158655228317,6.678714827658982,58,60.0,5.840223928941767,0.2600896860986547,78,0.34977578475336324,65
223,263,0.631578947368421,0.26366508987303583,14,0.6196226396260833,2,0.071637272021608,0.003189293264701494,0.9352621901614613,6.677726262313941,62,62.0,5.954196310386787,0.27802690582959644,78,0.34977578475336324,66
223,263,0.7368421052631579,0.42813323987193935,13,0.597759602643195,2,0.08056694919753876,0.003629463704181999,0.9421555775655268,6.679728976586393,63,63.0,5.977279923499825,0.2825112107623318,78,0.34977578475336324,67
223,263,0.5789473684210527,0.26366508987303583,13,0.5277082570038237,3,0.07990314871864429,0.003577168715087046,0.9460791104139876,6.679748808062475,58,59.0,5.848744744277012,0.2600896860986547,77,0.3452914798206278,68
223,263,0.5263157894736842,0.33598182862837817,14,0.5957257257755458,2,0.08150162339854464,0.003674568946104488,0.946958447635383,6.680429513258796,59,61.0,5.865163567070999,0.2645739910313901,77,0.3452914798206278,69
223,263,0.42105263157894735,0.26366508987303583,13,0.5882882713848809,2,0.07985540217075968,0.003717792029019219,0.9200768925464766,6.682400148997917,54,58.0,5.720049960644737,0.242152466367713,76,0.34080717488789236,70
223,263,0.6842105263157895,0.33598182862837817,15,0.6243158616023801,2,0.07541311012806734,0.0033943376334107556,0.9314518501372524,6.677032711461237,54,55.0,5.7449960771609465,0.242152466367713,77,0.3452914798206278,71
223,263,0.47368421052631576,0.20691380811147897,14,0.5997092368491103,2,0.08113248662285116,0.0036508643458890706,0.9449468455488752,6.684765477508807,66,66.0,6.0443941193583575,0.29596412556053814,77,0.3452914798206278,72
223,263,0.5789473684210527,0.42813323987193935,14,0.5642760246666391,3,0.07065721437105763,0.003297497093503064,0.8877803732783803,6.685247640586831,62,64.0,5.9374999999999085,0.27802690582959644,76,0.34080717488789236,73
223,263,0.5789473684210527,0.42813323987193935,13,0.6096951339181568,2,0.06420466641362599,0.00286831243043513,0.7549611618367356,6.674318899452535,50,52.0,5.623516641217943,0.2242152466367713,77,0.3452914798206278,74
223,263,0.6842105263157895,0.16237767391887217,13,0.6109602560610923,2,0.08141134394021693,0.0036645149528770015,0.9454737831413721,6.677957243139551,64,65.0,5.991598582259131,0.28699551569506726,76,0.34080717488789236,75
223,263,0.42105263157894735,0.26366508987303583,13,0.5932592815604747,2,0.07459712720861773,0.003368913267224351,0.9449885271845759,6.681224643527681,67,68.0,6.058051076544361,0.3004484304932735,78,0.34977578475336324,76
223,263,0.5263157894736842,0.26366508987303583,12,0.5107847723806372,2,0.05498646757205122,0.0024535385918491837,0.9387914704112806,6.677773021832726,60,62.0,5.889680181354531,0.26905829596412556,77,0.3452914798206278,77
223,263,0.47368421052631576,0.26366508987303583,14,0.5126563201633788,2,0.08088145528202063,0.003609099809150103,0.9437830103582411,6.676284560547985,54,57.0,5.727626856269928,0.242152466367713,78,0.34977578475336324,78
223,263,0.6842105263157895,0.12742749857031338,15,0.496307604236237,-1,0.06105092443067231,0.0027652499902064173,0.895202989641704,6.678610248531222,56,56.0,5.807354922057524,0.25112107623318386,78,0.34977578475336324,79
223,263,0.7368421052631579,0.20691380811147897,14,0.5459575524751318,2,0.08092855589757861,0.0035885642756836424,0.945586387579863,6.675232649144794,54,54.0,5.754887502163392,0.242152466367713,78,0.34977578475336324,80
223,263,0.5789473684210527,0.26366508987303583,13,0.519942185820702,3,0.059171851004788986,0.002662678864562013,0.9483470275020153,6.674018289491786,58,58.0,5.857980995127488,0.2600896860986547,76,0.34080717488789236,81
223,263,0.5789473684210527,0.33598182862837817,14,0.6276258023480973,1,0.08098094476250886,0.0036495601107018986,0.9452706077809128,6.679953251477796,63,63.0,5.977279923499825,0.2825112107623318,77,0.3452914798206278,82
223,263,0.5789473684210527,0.16237767391887217,14,0.5497325236402613,2,0.07440102745804004,0.003354999614400716,0.9466948674211134,6.6774771012315695,64,64.0,5.999999999999908,0.28699551569506726,78,0.34977578475336324,83
223,263,0.5263157894736842,0.20691380811147897,13,0.6265011651860287,2,0.07525403741666556,0.0034127629408113543,0.927060976344182,6.67892085354695,59,61.0,5.865163567070999,0.2645739910313901,78,0.34977578475336324,84
223,263,0.5789473684210527,0.20691380811147897,16,0.5639371062042345,2,0.07555700352948343,0.003394045040866418,0.9326150364049776,6.6785040796297945,68,70.0,6.072140159802012,0.30493273542600896,77,0.3452914798206278,85
223,263,0.5789473684210527,0.26366508987303583,12,0.5516770190643652,2,0.04786698355784148,0.0021496749340613906,0.9562991105342119,6.675674291739885,59,60.0,5.8735572622750984,0.2645739910313901,78,0.34977578475336324,86
223,263,0.7368421052631579,0.42813323987193935,13,0.5724854385555755,2,0.03693016006648882,0.0016692895780205642,0.9578221578913861,6.675186982442101,58,59.0,5.848744744277012,0.2600896860986547,78,0.34977578475336324,87
223,263,0.5789473684210527,0.33598182862837817,13,0.5980809903925473,2,0.07550857873145089,0.0034069944042854905,0.9325276827699004,6.675361637896523,60,61.0,5.897950452316899,0.26905829596412556,77,0.3452914798206278,88
223,263,0.47368421052631576,0.33598182862837817,14,0.5814532727471587,2,0.08136771764873657,0.0036617924976105136,0.9471477504883674,6.678261104135585,64,64.0,5.999999999999908,0.28699551569506726,78,0.34977578475336324,89
