D1_csi,D2_max_gini,D3_alg_conn,D3_fiedler_bim,D3_norm_gap,D4_cycle_rank_norm,accepted_swaps,is_dag
0.5789473684210527,0.5005617487820705,0.12661371975725544,0.5930370452779492,0.005744100000145542,0.34977578475336324,627,False
0.3157894736842105,0.4784153665762645,0.13051947065851568,0.5192432420089111,0.005916788510566857,0.3452914798206278,602,False
0.6842105263157895,0.4945790613016932,0.07976667829465622,0.916347774870807,0.003618231412270333,0.3452914798206278,599,False
0.5263157894736842,0.5141102187541345,0.12555962081213037,0.4640440934610379,0.005698499016439099,0.3452914798206278,596,False
0.5789473684210527,0.5153251346644891,0.09905632099172304,0.7809749834768237,0.00449419530621369,0.34080717488789236,547,False
0.7368421052631579,0.5621497520343364,0.12592207311178152,0.604865479305389,0.0057123564739712486,0.3452914798206278,566,False
0.47368421052631576,0.538568883446682,0.13470816157459506,0.49946244996453826,0.006112924093064717,0.34977578475336324,598,True
0.5263157894736842,0.5495419933032618,0.09296429922710749,0.7626614297095398,0.0042226484396597945,0.34977578475336324,573,False
0.8947368421052632,0.5202875625825418,0.12764281757313758,0.6749100906727374,0.005791195058046925,0.34977578475336324,607,False
0.7894736842105263,0.48071748878923765,0.09870238680767426,0.7947703496499532,0.004478325613334142,0.3452914798206278,611,False
0.6842105263157895,0.485810723160939,0.09042845465285694,0.8477560477202376,0.004101336264892148,0.34977578475336324,598,True
0.5789473684210527,0.49856492690917253,0.11855898205341324,0.30201318873821775,0.005373308322018937,0.34080717488789236,603,False
0.8421052631578947,0.5122000158653869,0.12017008533049124,0.6007411141262013,0.005456812682499214,0.34977578475336324,586,False
0.5789473684210527,0.508635255221795,0.11137784118462701,0.6475620065307478,0.005050016111859008,0.3452914798206278,604,False
0.5789473684210527,0.4849814945350137,0.08105878859369715,0.9031439796118369,0.0036765213824277486,0.336322869955157,595,False
0.631578947368421,0.5378511011644259,0.11598234786668675,0.750001473624103,0.00525811517559213,0.3452914798206278,577,False
0.631578947368421,0.4947621085536721,0.10325430766008631,0.7303067020306383,0.004679337836349507,0.34080717488789236,608,False
0.631578947368421,0.4763631242020709,0.08497228872467016,0.9604273239250593,0.003851371196505033,0.3452914798206278,592,False
0.8421052631578947,0.4722906686664932,0.11866257125491811,0.7181319345859194,0.005386692371032064,0.3542600896860987,618,True
0.6842105263157895,0.4642601666038505,0.12044090944862616,0.3085754015736342,0.00546413968108031,0.336322869955157,599,False
0.6842105263157895,0.47972250296827623,0.11799278419177658,0.4190002551913145,0.0053410265694836135,0.3452914798206278,591,False
0.6842105263157895,0.48219812146421126,0.11764170540785301,0.6345390833536626,0.005340755249753196,0.34977578475336324,588,False
0.7894736842105263,0.49948960107219803,0.12408551367605976,0.7071858608172749,0.005623130563547379,0.3452914798206278,605,False
0.6842105263157895,0.4901705417178489,0.12329856646463486,0.3993133492929624,0.005591607147384858,0.34080717488789236,601,False
0.7368421052631579,0.4799129955454911,0.12456760590346183,0.563372881727132,0.005645653865901732,0.34977578475336324,587,False
0.7368421052631579,0.46470913446771916,0.11569570553778531,0.4686072368026513,0.005242511918088366,0.34977578475336324,599,False
0.7894736842105263,0.49573764551343025,0.09755247466730495,0.6357921641919597,0.004428981102504701,0.3452914798206278,564,False
0.7368421052631579,0.4941846394761193,0.08082211362292059,0.9706948606146198,0.0036666205485532035,0.3452914798206278,573,False
0.7368421052631579,0.47522937181534136,0.12354252955428757,0.5382561977831584,0.005595436153085814,0.34080717488789236,589,False
0.42105263157894735,0.48519791120687983,0.09473367906820304,0.840741168197784,0.0042948435026895875,0.34080717488789236,603,False
0.47368421052631576,0.5176676354168036,0.14199733452007865,0.5012706804088463,0.006439208873372146,0.34080717488789236,614,False
0.6842105263157895,0.4968592245412177,0.1362666833842407,0.42883040473137485,0.006180011791687145,0.3452914798206278,612,False
0.5789473684210527,0.4889650927635628,0.10896801440310769,0.5207627331087087,0.004942397476138301,0.34977578475336324,608,False
