scale,governance,seed,N,M,D1_csi,D1_frag_onset,D1_stab_var,D1_n_comm_g1,D1_mod_g1,D2_max_gini,D2_transition,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D3_entropy,D4_h1_bars,D4_h1_persist,D4_h1_entropy,D4_h1_bars_norm,D4_cycle_rank,D4_cycle_rank_norm,BL_mean_degree,BL_std_degree,BL_max_in_degree,BL_max_out_degree,BL_mean_betweenness,BL_max_betweenness,BL_max_pagerank,BL_diameter,BL_density,MTTD_stew_mean,MTTD_stew_max,MTTD_bc_mean,MTTD_rand_mean,MTTD_stew_undetected
tiny,poor,42,29,50,0.5789473684210527,0.16237767391887217,0.15239047274024298,7,0.3347772712917236,0.6294010889292196,0,0.1097946365721848,0.00990775743063248,0.2989833017069578,4.419448445575719,22,22.0,4.459431618637266,0.7586206896551724,22,0.7586206896551724,3.4482758620689653,1.8861785284382544,4,9,0.002691114760080277,0.009347442680776013,0.08575739057097242,10,0.06157635467980296,2.0,2.0,1.25,3.75,0
tiny,poor,43,32,51,0.47368421052631576,0.12742749857031338,0.1388104268279519,6,0.4045297629459623,0.6149878640776699,0,0.06301599376926593,0.005757530539701052,0.801087600744502,4.541622976485946,20,20.0,4.321928094887333,0.625,20,0.625,3.1875,1.7399263633843818,4,9,0.002788978494623656,0.00967741935483871,0.06273391529362146,12,0.05141129032258065,3.25,7.0,5.75,2.0,0
tiny,poor,44,34,54,0.7368421052631579,0.12742749857031338,0.13358492891562337,5,0.4032996557107961,0.5865337870685464,0,0.06052995637149713,0.006104153405226489,0.6562198982874772,4.635181210199265,21,21.0,4.3923174227787305,0.6176470588235294,21,0.6176470588235294,3.176470588235294,1.6710438483931518,4,7,0.0031194295900178253,0.008522727272727272,0.06374136388473774,13,0.0481283422459893,2.0,3.0,2.0,3.5,0
tiny,poor,45,32,49,0.7894736842105263,0.12742749857031338,0.14409618238401758,6,0.39522568292346194,0.6110767326732673,0,0.07527450526706315,0.007221916448231039,0.25272637120093344,4.486439453398516,19,19.0,4.247927513443559,0.59375,19,0.59375,3.0625,1.8529958850466992,3,8,0.002688172043010753,0.007562724014336918,0.07831256925223114,12,0.04939516129032258,3.25,6.0,3.0,2.75,0
tiny,poor,46,34,56,0.631578947368421,0.12742749857031338,0.13734932726157184,5,0.3888418436082377,0.5904229460379193,0,0.060471442992964045,0.005128573803652226,0.5500706858631689,4.613186041271982,23,23.0,4.523561956056981,0.6764705882352942,23,0.6764705882352942,3.2941176470588234,1.9482935484328465,5,10,0.0030358734402852047,0.008522727272727272,0.06548546642507319,13,0.049910873440285206,2.0,2.0,5.75,1.5,0
tiny,poor,47,32,52,0.631578947368421,0.12742749857031338,0.1390843744899961,6,0.37116487920283175,0.5868055555555556,0,0.059145670817071,0.005841097998293478,0.5979742564001057,4.562310812329619,21,21.0,4.3923174227787305,0.65625,21,0.65625,3.25,1.6583123951777,4,8,0.0030577956989247313,0.00967741935483871,0.07240364395107246,13,0.05241935483870968,2.0,2.0,5.75,1.75,0
tiny,poor,48,30,52,0.631578947368421,0.12742749857031338,0.14990338694721603,6,0.3423323083785907,0.6169934640522876,0,0.06505147114011507,0.0059186482718830225,0.8545898200625975,4.4722617269005775,23,23.0,4.523561956056981,0.7666666666666667,23,0.7666666666666667,3.466666666666667,1.8390818965511626,4,9,0.003119868637110016,0.011083743842364532,0.08517342097230786,11,0.059770114942528735,2.0,2.0,5.75,1.0,0
tiny,poor,49,32,53,0.7894736842105263,0.12742749857031338,0.14205902683877558,6,0.36882453171333507,0.6126720183486238,0,0.06383924904145341,0.0061040421750080155,0.7563162527508026,4.55859647673754,22,22.0,4.459431618637266,0.6875,22,0.6875,3.3125,1.757795138803154,4,8,0.0030913978494623655,0.00967741935483871,0.07061520047648244,11,0.05342741935483871,2.0,2.0,5.75,0.75,0
tiny,poor,50,32,52,0.5263157894736842,0.12742749857031338,0.13913273353436742,6,0.4061050918149562,0.5742545871559633,0,0.06533476497620117,0.006702616371857479,0.8624867644981514,4.569983537572134,21,21.0,4.3923174227787305,0.65625,21,0.65625,3.25,1.620185174601965,4,8,0.0029905913978494625,0.00967741935483871,0.08096762410029446,10,0.05241935483870968,2.0,3.0,5.75,5.5,0
tiny,poor,51,32,53,0.7368421052631579,0.12742749857031338,0.14334923812457367,5,0.4094757882607659,0.5954861111111112,0,0.06325186520002836,0.005729273998027537,0.8047673502400372,4.5439609804627334,22,22.0,4.459431618637266,0.6875,22,0.6875,3.3125,1.8614090764794289,4,9,0.0029233870967741936,0.00967741935483871,0.07911227715175244,12,0.05342741935483871,3.25,7.0,5.75,4.0,0
