project,project_id,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,nodes_peak_date,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,net_contraction_from_peak_pct,drift_events,drift_events_per_year,median_snapshot_gap_days,max_snapshot_gap_days
fivetran/dbt_zendesk_source,fivetran__dbt_zendesk_source,36,2020-08-16,2025-07-24,1802,4.934,12,40,9,40,2025-05-01,0,20,0,20,3.33,,0.0,0,0.0,34.0,142.0
Jam516/BundleBear,Jam516__BundleBear,35,2023-08-14,2026-08-02,1084,2.968,16,156,16,156,2026-04-09,21,248,21,248,9.75,11.81,0.0,7,2.36,29.5,66.0
fivetran/dbt_hubspot,fivetran__dbt_hubspot,35,2020-07-09,2026-08-03,2216,6.067,30,205,30,205,2026-08-03,12,210,12,210,6.83,17.5,0.0,3,0.49,46.5,216.0
fivetran/dbt_netsuite,fivetran__dbt_netsuite,34,2020-04-16,2026-06-22,2258,6.182,7,110,7,110,2025-10-15,6,148,6,149,15.71,24.67,0.0,7,1.13,44.0,306.0
pass-culture/data-gcp,pass-culture__data-gcp,34,2023-12-05,2026-08-03,971,2.658,57,432,57,432,2026-07-31,92,639,52,639,7.58,6.95,0.0,6,2.26,29.0,52.0
coderxio/sagerx,coderxio__sagerx,33,2023-03-02,2026-04-16,1141,3.124,36,117,33,122,2025-02-05,51,135,45,135,3.25,2.65,4.1,9,2.88,29.5,146.0
Velir/dbt-ga4,Velir__dbt-ga4,32,2022-04-18,2026-01-28,1380,3.778,15,60,15,60,2024-08-22,18,69,18,69,4.0,3.83,0.0,8,2.12,30.0,167.0
edanalytics/edu_wh,edanalytics__edu_wh,32,2022-12-02,2026-08-04,1340,3.669,52,130,52,130,2026-08-04,79,183,79,183,2.5,2.32,0.0,2,0.55,40.0,135.0
fivetran/dbt_ad_reporting,fivetran__dbt_ad_reporting,32,2020-08-24,2026-05-18,2092,5.728,4,20,4,20,2025-05-22,0,10,0,10,5.0,,0.0,0,0.0,47.0,272.0
MTES-MCT/trackdechets-meltano-workspace,MTES-MCT__trackdechets-meltano-workspace,31,2022-09-28,2025-03-13,897,2.456,7,178,7,178,2025-03-13,4,235,4,235,25.43,58.75,0.0,17,6.92,28.0,52.0
dbt-labs/snowplow,dbt-labs__snowplow,31,2016-07-27,2022-12-01,2318,6.346,8,14,5,17,2017-08-15,9,23,4,24,1.75,2.56,17.6,13,2.05,50.0,379.0
Opetushallitus/ovara,Opetushallitus__ovara,30,2024-04-02,2026-08-03,853,2.335,6,332,6,332,2026-07-10,3,359,3,359,55.33,119.67,0.0,16,6.85,29.0,54.0
dagster-io/dagster,dagster-io__dagster,30,2020-08-18,2026-05-20,2100,5.749,4,51,4,51,2026-05-20,3,45,3,45,12.75,15.0,0.0,4,0.7,46.0,554.0
dpguthrie/snowflake-dbt-demo-project,dpguthrie__snowflake-dbt-demo-project,30,2020-10-29,2023-08-12,1016,2.782,20,33,20,33,2023-07-28,16,20,16,21,1.65,1.25,0.0,6,2.16,29.0,153.0
get-select/dbt-snowflake-monitoring,get-select__dbt-snowflake-monitoring,30,2022-10-30,2026-03-09,1226,3.357,11,25,11,26,2023-08-09,11,24,11,24,2.27,2.18,3.8,8,2.38,35.0,130.0
lightdash/lightdash,lightdash__lightdash,29,2023-10-12,2026-07-24,1015,2.779,8,63,8,63,2026-07-24,7,35,7,35,7.88,5.0,0.0,3,1.08,30.0,105.0
prefeitura-rio/queries-rj-smtr,prefeitura-rio__queries-rj-smtr,29,2022-03-03,2024-07-12,862,2.36,2,199,2,199,2024-07-12,1,280,1,280,99.5,280.0,0.0,7,2.97,29.5,56.0
Health-Union/dbt-xdb,Health-Union__dbt-xdb,28,2020-03-18,2025-05-26,1895,5.188,5,51,5,51,2023-05-12,0,0,0,0,10.2,,0.0,0,0.0,40.0,558.0
fivetran/dbt_shopify_source,fivetran__dbt_shopify_source,28,2020-09-29,2025-08-14,1780,4.873,10,178,10,178,2025-08-14,5,89,5,89,17.8,17.8,0.0,0,0.0,41.0,252.0
matsonj/nba-monte-carlo,matsonj__nba-monte-carlo,28,2022-10-26,2026-07-27,1370,3.751,35,63,31,71,2024-05-17,48,122,44,122,1.8,2.54,11.3,3,0.8,38.0,195.0
stellar/stellar-dbt-public,stellar__stellar-dbt-public,28,2023-08-18,2026-07-31,1078,2.951,14,61,14,61,2026-06-16,4,59,4,61,4.36,14.75,0.0,3,1.02,31.0,109.0
