project_id,repo_url,status,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,nodes_first_viable,date_first_viable,node_growth_from_first_viable,tier,net_contraction_from_peak_pct,median_giant_component_frac,median_edges_per_node,median_snapshot_gap_days,max_snapshot_gap_days,drift_events,n_dbt_projects_at_head,model_paths,head_sha,stars,license,strata,edge_recall_strict,pct_edges_recovered,pct_nodes_touched_by_recovered,edges_dropped_as_commented_out,median_doc_rate,median_test_rate,error,composition,composition_rule,has_integration_tests,consumes_packages
fivetran__dbt_jira,https://github.com/fivetran/dbt_jira.git,success,41,2020-12-22,2026-06-24,2009,5.5,20,61,19,61,23,90,23,91,3.05,3.91,20,2020-12-22,3.05,core,0.0,1.0,1.2273,35,187,11,0,models,6b7d33392a306ae41a54b9a111c5d9f14a83dcb5,13,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,1.0,1.0,,package,ships an integration_tests project,True,True
DITP-pilotage__pilote-2,https://github.com/DITP-pilotage/pilote-2.git,success,40,2023-04-21,2026-07-29,1194,3.27,33,85,33,90,35,157,35,164,2.58,4.49,33,2023-04-21,2.58,core,5.56,0.75,1.5811,28,65,24,0,data_management/data_factory/models;data_management/models;apps/pilote-ppg-data-management/models,37852643075338e0e76599a6d81af09c2b7836cc,8,,S3_code,1.0,0.0,0.0,211,0.494118,0.0,,estate,"no package, docs or demo signal",False,True
CDPVD__cdpvd_dashboards_store,https://github.com/CDPVD/cdpvd_dashboards_store.git,success,39,2022-09-06,2026-07-16,1409,3.86,2,103,2,169,1,121,1,289,51.5,121.0,16,2022-11-21,6.44,extended,39.05,0.4231,1.1748,34,101,34,0,models;template/{{ cookiecutter.project_slug }}/models,f5f367157839a28e1f191b35e0ade440fc0b341d,0,AGPL-3.0,S3_code,1.0,0.0,0.0,0,0.758333,0.375,,estate,"no package, docs or demo signal",False,True
Sciance-Inc__core.dashboards_store,https://github.com/Sciance-Inc/core.dashboards_store.git,success,39,2022-09-06,2026-08-04,1428,3.91,2,208,2,208,1,374,1,375,104.0,374.0,16,2022-11-21,13.0,core,0.0,0.6074,1.7222,33,115,26,0,models,2204900b268236771fbef82dfac812654c1c10cc,2,AGPL-3.0,S3_code,1.0,0.0,0.0,0,0.681481,0.385714,,estate,"no package, docs or demo signal",False,True
elementary-data__dbt-data-reliability,https://github.com/elementary-data/dbt-data-reliability.git,success,39,2022-01-23,2026-06-17,1605,4.39,7,30,7,30,6,17,6,29,4.29,2.83,26,2022-03-08,1.15,extended,0.0,0.2632,0.5667,32,189,14,0,models,6283bb85e909c856d93488d28620c835ea767bd7,520,Apache-2.0,S2_topic_analytics-engineering;S2_topic_dbt,1.0,0.0,0.0,47,0.7,0.0,,package,ships an integration_tests project,True,True
fivetran__dbt_shopify,https://github.com/fivetran/dbt_shopify.git,success,39,2020-09-20,2026-07-29,2138,5.85,8,264,8,264,7,347,7,347,33.0,49.57,10,2021-05-28,26.4,core,0.0,0.8889,0.9706,37,344,9,0,models,1a4b7d18dd793c55ac6ce9841a5b1d7e38c1f5fe,82,Apache-2.0,S2_topic_dbt;S3_code,0.9522,4.78,8.27,0,0.545455,0.647059,,package,ships an integration_tests project,True,True
prefeitura-rio__queries-rj-sms,https://github.com/prefeitura-rio/queries-rj-sms.git,success,39,2022-10-18,2026-08-03,1384,3.79,2,823,2,823,1,1020,1,1020,411.5,1020.0,26,2023-11-06,31.65,core,0.0,0.7622,1.2475,29,270,17,0,models,381203cfabd2d642978f3e09fef3c9ab1fd5fb03,8,,S2_topic_dbt;S3_code,0.9977,0.23,0.51,13,0.549153,0.225,,estate,"no package, docs or demo signal",False,True
TEAMSchools__teamster,https://github.com/TEAMSchools/teamster.git,success,38,2023-08-12,2026-08-04,1088,2.98,276,1370,276,1370,297,1782,297,1782,4.96,6.0,276,2023-08-12,4.96,extended,0.0,0.4974,0.9906,30,33,19,0,src/dbt/kipptaf/models,15e75b68520a4e3873281ecce4fc098441a38e35,14,Apache-2.0,S2_topic_dbt;S3_code,0.9444,5.56,6.6,318,0.001096,0.00582,,estate,"no package, docs or demo signal",False,True
datacoves__balboa,https://github.com/datacoves/balboa.git,success,38,2021-07-28,2026-03-20,1696,4.64,1,36,1,36,0,23,0,23,36.0,,10,2021-12-14,3.6,extended,0.0,0.2692,0.7407,37,119,8,0,transform/models;models,1b88c9babb572ea9f802fd2c742feac31a9f9127,30,,S3_code,0.9973,0.27,0.39,4,0.961538,0.12,,estate,"no package, docs or demo signal",False,True
ccao-data__data-architecture,https://github.com/ccao-data/data-architecture.git,success,37,2023-08-25,2026-08-04,1075,2.94,27,145,27,145,0,0,0,0,5.37,,27,2023-08-25,5.37,extended,0.0,0.0075,0.0,29,49,0,0,dbt/models,3bad3e51fd5affdad019ece89e33d230791e052e,12,,S3_code,0.0,0.0,0.0,0,0.992647,0.391892,,estate,"no package, docs or demo signal",False,True
